1 1
1 2
1 3
1 4
1 5
1 6
1 8
1 9
2 1
2 2
2 3
2 5
2 6
2 7
2 8
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
4 1
4 3
4 4
4 5
4 6
4 7
4 8
5 3
5 4
5 5
5 7
6 3
6 5
6 6
6 8
7 5
7 6
7 7
7 8
8 6
8 8
8 9
9 5
9 7
9 8
9 9
10 7
10 8
10 9
10 12
11 8
11 9
11 10
11 12
12 8
12 9
12 10
12 12
12 13
12 14
13 7
13 8
13 9
13 10
13 12
13 13
13 14
14 6
14 7
14 9
14 10
14 11
14 12
14 13
14 14
15 7
15 8
15 10
15 11
15 12
16 8
16 9
17 9
17 11
18 9
18 11
