1 1 6
1 2 6
1 3 6
1 4 8
1 5 4
1 6 6
1 8 1
1 9 5
2 1 6
2 2 4
2 3 6
2 5 8
2 6 5
2 7 1
2 8 7
3 2 3
3 3 7
3 4 7
3 5 6
3 6 10
3 7 8
3 8 6
3 9 0
4 1 2
4 3 2
4 4 1
4 5 3
4 6 9
4 7 6
4 8 10
5 3 9
5 4 7
5 5 9
5 7 2
6 3 6
6 5 9
6 6 5
6 8 3
7 5 9
7 6 1
7 7 7
7 8 4
8 6 5
8 8 3
8 9 0
9 5 4
9 7 1
9 8 8
9 9 6
10 7 2
10 8 8
10 9 4
10 12 8
11 8 3
11 9 9
11 10 3
11 12 6
12 8 2
12 9 9
12 10 3
12 12 3
12 13 3
12 14 4
13 7 7
13 8 6
13 9 9
13 10 9
13 12 1
13 13 2
13 14 8
14 6 8
14 7 2
14 9 2
14 10 3
14 11 3
14 12 0
14 13 8
14 14 3
15 7 6
15 8 7
15 10 4
15 11 6
15 12 2
16 8 7
16 9 1
17 9 7
17 11 2
18 9 8
18 11 10
